"שם המקום","איש קשר","נייד איש קשר","הסכם רעיה/חכירה","שטחי מרעה","שטחים מעובדים","שטחים שמירה","כמות התנדבויות","תאריך תפוגה הסכם קרקע","כמות מתנדבים קבועים","מיקום","מיקום","חתימה","הצהרת חקלאי","סיווג מוסד","מוסד","שם העסק","מייל חקלאי","ת״ז / ח״פ","שם החווה","תאריך חתימה"
"חוות רתם","אליהו בן־חמו","(052) 000-0001","","3100","420","","18","10/10/2026","6","34.6531, 31.0583","רתמים","","","","רמת נגב","","contact-01a@example.co.il","057392814","",""
"חוות מעלה עבדת","יונתן אשל","(053) 000-0011","","0","650","","14","14/04/2027","6","34.7954, 30.8712","שדה בוקר","","","","רמת נגב","","contact-02a@example.co.il","512874903","",""
"חוות נאות חלוצה","משה קדוש","(054) 000-0021","","0","880","","12","06/11/2026","6","34.3862, 30.9371","בארי מילכה","","","","","","","031558472","",""
"חוות גבעת עשן","דוד אלמליח","(052) 000-0031","","6400","180","","12","15/11/2026","6","34.7063, 30.9824","אשלים","","","","","","contact-04a@example.co.il","514402317","",""
"חוות כרמי ירוחם","איציק פרץ","(050) 000-0007","","0","300","","0","16/11/2026","0","34.9294, 30.9873","ירוחם","","","","","","contact-05a@example.co.il","","",""
"חוות מצפה נועם","יונתן מרגי","(050) 891-2840","","4800","120","","0","","0","34.9218, 30.6472","מרחב עם","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAkAAAACqCAYAAABF2vD7AAAAAXNSR0IArs4c6QAAAERlWElmTU0AKgAAAAgAAYdpAAQAAAABAAAAGgAAAAAAA6ABAAMAAAABAAEAAKACAAQAAAABAAACQKADAAQAAAABAAAAqgAAAAAh4fZNAAAjSklEQVR4Ae3dC3gc5X3v8XlHkiWtVtJKq6txsA22JGMgKYZwCZfEQJKnQB4O57S5AnlomjZcQto0pelJitSU5jQpoWlOyUnaJpzjNGlLgBQMadNAGki4m4AdY0vm4oBjybZutu62Ne/5vauVkWRJlrBWuzv7HT/j3Z2dy/t+Znf033fei+cxIYAAAggggAACCCCAAAIIIIAAAggggAACCCCAAAIIIIAAAggggAACCCCAAAIIIIAAAggggAACCCCAAAIIIIAAAggggAACCCCAAAIIIIAAAggggAACCCCAAAIIIIAAAggggAACCCCAAAIIIIAAAggggAACCCCAAAIIIIAAAggggAACCCCAAAIIIIAAAggggAACCCCAAAIIIIAAAggggAACCCCAAAIIIIAAAggggAACCCCAAAIIIIAAAggggAACCCCAAAIIIIAAAggggAACCCCAAAIIIIAAAggggAACCCCAAAIIIIAAAggggAACCCCAAAIIIIAAAggggAACCCCAAAIIIIAAAggggAACCCCAAAIIIIAAAggggAACCCCAAAIIIIAAAggggAACCCCAAAIIIIAAAggggAACCCCAAAIIIIAAAggggAACCCCAAAIIIIAAAggggAACCCCAAAIIIIAAAggggAACCCCAAAIIIIAAAggggAACCCCAAAIIIIAAAggggAACCCCAAAIIIIAAAggggAACCCCAAAIIIIAAAggggAACCCCAAAIIIIAAAggggAACCCCAAAIIIIAAAggggAACCCCAAAIIhE4gXr96TUX9KReELmNkCAEEskLAZEUqSSQCCGS9QHxZwwmjh8w635h11rMXKkMu+HHXoNc1b9O8083G2p2eDV7zg4KdnZ3b2rWMCQEEEFhwAQKgBSdlhwgg4ARi9WuWGzt6mfH8Wut56zzPavbq5qnTp+22Kk56XtslgqPRvLwuPzhc2NOx48F57ovVEUAAgSMCBEBHKHiCAAILIRCrX32h7/nXWOtdo/0VTL9P85Rn7X7P94YUHPUZ652g9VZqXjH9+kctHVJQ9I8Fwchf7N376p6j3mUBAgggcAwBAqBjAPE2AggcW6C29vSSQ97w5dYzV+im1uXaonx8KwU4I8azT1nrbzK+3eQbu6lrd9v28fcnPlYsXXuiZw8tt4G5yvhejbX2oO+ZE7WPFVrPzb7mNybr/UhLNvS0t37njYU8QwABBI4tQAB0bCPWQACBGQRKq5oaCgqCyz1rLlOQsn7Sasbr9az3Pd+zd3V1tD096b038WJCcHSNgqKLrLGrJ+xmg/H9Dd27t/3nhGU8RQABBGYUIACakYY3EEBgNoGKusbP6P0vTVnnZd3OemDU8x7Yv6f1kSnvLdhLV6E6OORd7Rn/atUROmXCjv/aC1QitLd184RlPEUAAQSOEiAAOoqEBQggMJtAec2qk43Jv8EYe4PWW5Jcd4seN/gm2NjVvsO16FqUqXzpmjPyRoOrrfE+NeGAKowy/1v1g26jftAEFZ4igMAkAQKgSRy8QACB2QRitY3vM8a7Xuu8J7ner/T40KH+0Vv7+1/aN9u2qXyvoq7hNxX0uBKpd046jvGupn7QJBFeIIBAUoAAiI8CAggcU6CyclWZLfCv94xxpT7Ljmxg7IU97W2PHXmd1ifvzI/VdfyVSqYuVt2jt05ICvWDJmDwFAEExgQIgPgkIIDArAKVNU3vVoXjG9W664rkih265fR3QV7+nQd2be2edeM0vDlL/aCv+779kVqg/SANyeKQCCCQYQIEQBl2QkgOApkkUFnf+Cn15/PXSlOeS5cuGA8HxtzZ27793kxK53RpcfWD/CD4Hb3nbtmNT4MK3r7Y2976F+MLeEQAgdwUSFzUcjPr5BoBBGYTUL0aBQ6mRetEkuv9e57vfbK7vfVns22XKe+N9HW2D/d3PVQcjT+jfLjbdis0FyiIW1dcWt0z3N+5KVPSSjoQQGDxBQiAFt+cIyKQ0QIrVqwo8opq/tR4plkJLdPcp16bfxAUFl7Xs+vFXRmd+GkSpyBox3D/ad8pLuk/WUVYDVolqjpC5yswMsMDXT+fZhMWIYBADgjoxxATAgggMCZQecKqZXbU/2OVmNyUWGK8F/T4ZbWk+qcwGMXqGq7R2GS3TOg76Euj+fl/lYl1mcLgTR4QyGQBSoAy+eyQNgQWUSBWvfptnsm7VcHPx8YPa4z5qIKf+8ZfZ/ujSoNeKC6pel0lQacqL7Wa3+GP2srCktiLIwPdPdmeP9KPAAJzFyAAmrsVayIQWoHy2oaLfeM3K4NXJjP5r6rsfK0qOz8WtkwPD3S2FZfFt+g2WI2CvQYFQ+vUo/TSwtKqV0f6u3aHLb/kBwEEphcgAJrehaUI5IxARV3Tjerc8LsKBFYlM92lQU1/e3/H9kXr0XmxsYf7ul6LRGs3a5DWJh17peoCnOKeF0XjgSslWuz0cDwEEFh8AQKgxTfniAhkjMBYz87mz5SgeDJR/5I/mr++e++2vRmTyBQlZKh/376Soqofq4F/gQ5xtkqDlqvi9+WFJfH2kYGu51J0WHaLAAIZIkAAlCEngmQgsNgCyWEtVOfHW5s4trHf7Olo++jg4L6Di52WdB1vcLCrLx4r/umhYIkLAM/UnOcb01hYUvWaWoi1pitdHBcBBFIvQACUemOOgEDGCUwIfs5IJu4WBT+fzbiELkKCDhw4cFi3vR4sjlat0eFc5egq3RJsLCqp6iAIWoQTwCEQSJMAAVCa4DksAukSmBr8aOysP1Twc3u60pMpx1UQ9P1ItHpA6Xm35nqCoEw5M6QDgdQIEAClxpW9IpCRAlODHyXSlfzkfPAzfrKG+jsfV0nQkF5fqpkgaByGRwRCKEAAFMKTSpYQmE4gVtNwtfE9189PYqR0Sn6mU/I8lQT9nJKg6W1YikCYBAiAwnQ2yQsCMwio5Oc645tvKfhxnf+5iZKfMYdp/6ckaFoWFiIQKgECoFCdTjKDwNEClfVNH9dS19qr3L2rui1f7elo/bx7zjSzwDQlQe+PlFbtH+rvemrmrXgHAQSyRYAAKFvOFOlE4E0IVNQ13qLNmjXXqqPDXs/Y+3ra21xAxDQHAVcSpKDnLVrVtZZzYyeeUBKNb1IQ9Os5bM4qCCCQwQIEQBl8ckgaAm9WoPzE0yoixRXN2t7Nxfrb/aL17Od6O9pcp4dM8xBQsHN/cbT6JG3i6k65W4jxguKaX4wMdnbPYzesigACGSZAAJRhJ4TkIHC8AhrX6yR/dLRZ97puTuzLej9XANTSu6f17uPdd65uP7y89qGiQRvV7cNzZbnG5NlIQVn88YN9XYO5akK+Ech2AQKgbD+DpB+BCQLl9U3rfFfqY8w1Y4vtRg310KI6Pz+esBpP5yuwb99oWUnd89YE7lbYSt0LO8O3xlc9oUf02s53d6yPAALpFyAASv85IAUILIhAvKbhSgU+t2ln70nucIPx8lt62rdvWpAD5PhOBgb2DkTK4k9roFhXJ8gNonpecUn1iEaXfyzHacg+AlkpQACUlaeNRCMwWSBe13RtYLz/p6Ur3Du6VfO3eYe9lq69219xr5kWRmCor6szEqn+lapDX6I9xvR4ljpO3K+SoGcX5gjsBQEEFkuAAGixpDkOAikSKK9ZdbI15n/ptsyJOoTV4z2R/IEbOjpe7UnRIXN6t0MDnbuKo/E2hZmnC8KZr4tE454qSz+R0zBkHoEsEyAAyrITRnIRmCKQp2batxrPXJVc/kPV97nSDfA5ZT1eLqCASnx2FJdWHdAuL9Jco2DofJ2HQQVBTy7gYdgVAgikUIAAKIW47BqBVAtU1jf8gf74jnVqaLzvHrKHP3FwoMcN6MmUYgEFQVt0+2ulDnOm5gLNTeoj6An6CEoxPLtHYIEECIAWCDIDdqPGP4mO2miRkgEnYzGSEKtvukrtj5p1rHKd+cd9a1v273lJt2aYFktAQdCDRdH46SqBW6NjxjTTR9Bi4XMcBI5TwP3RZMpygYqla09Uj7+jbtawB+MtgLI8VyR/NgHX3N1Y+ymt41okqYNn72+6Otqenm0b3kuNQG+84IPWmjvc3tVC7Kq8PHtH6dKGqtQcjb0igMBCCVACtFCSadxPSSTWpEqwH0smwXXVv41i+DSekBQfuvSEpnheYN3YXle4Q7lR3bs72v4xxYdl9zMJHOkjaFRBj3mbVmugj6CZsFiOQOYIEABlzrl40ykZGuj+tYrh1frHvEs7WalfoacuidU8OnKArvrfNGoGbxgtiX9WybspmcQ7e+IFX/D0RziDkxz6pCX7CGqd3EdQfHh4oOtnoc88GUQgSwUIgLL0xE1N9nBdxZORET+quiDn6L236PYIXfVPRQrB68raxt9RpNusrBS67OTlmY8Mvrxtr3vOlF6BN/oIMquVkuUqmrtYlaT30kdQes8LR0dgJgECoJlksm15d/doNFL3gvXHiuHVF8wZeZ4pGupf/5+ep3EwmbJeIFa/5mrVMvm2MlKoW547fN//YNfu7c9kfcZClIGxPoIqFZAm+ghyA6eeWlwS71BJ0C9DlE2ygkAoBAiAQnEaxzIxOLivP1Ja2ZYshm/U0rOLS/eODPfTVX+2n+Z4XcPbFdR+QflY6vKi5/+gIS6+me35CmP6x/sI0vfwHTpPJ6gk6Cr1EbRf9fKeCmN+yRMC2SpAAJStZ26GdA/1d7uu+l/TRXesGN7zzleHbZ0Uw88AlgWLy5atWe0HplnFeBcnkmvt93qWlX7Sa28PsiD5OZlEfd/UR1B8pTJ/lmbFQZ5rnLCJxgnZ+3GIrVgRKymuXumusdmbC1I+UYAAaKJGSJ6rGP714mjFvmQx/FLr2bOKSqoOqRieX6BZdo5dc+q8IFHn58Mu6a65e09pcJO3devBLMtKziVXQdBDRdHqkxT9vFWZd7fD6CMoSz8F5bWN6/3R/P9Qqd579QNzi7vVmaVZIdkTBAiAJmCE6elwf7frqr9PeXqXWodVaXDMSzRy9csauXpLmPIZ7rz8Vl5Jyd5m/QG90eXTePauvKCgZXBX6/5w5zs8uRteXvtQ0aCN6vt3rs7gGpNH44RsO7turD3Vt2tWul1p3pDO5TMqyduabfkgvUcLEAAdbRKaJfoFulkVMNVLsLlAmfL1r7YwUvHoyEA3g2RmwVmuqA9cc/fPJ5N6v29sS+ee7TuzIOkkcVzgSB9BwRlatFLB7Bn0ETSOkxWPibH2FLyqAYImY7/e09H2taxIOYk8pgAB0DGJsnsF3fZ6WE1x3cXXVYo+0WhSYPQjPadlWAafWvXq/Qklr1mzmrubR01gWrr3tP0ig5NM0mYQSPYR9HSycUKTVjtPpbEjKo19bIZNWJwhAkeNtReMtjDWXoacnAVIBgHQAiBm+i7yS2KP5Bt/vdKpFkTm7Ehp3LVIeSLT052r6auoafo95f1zuudVrUc1nw5aeva0PZKrHmHI9xt9BHmXKD8xnduz9MNkv36MPBuG/IUxD4y1F8azOjlPBECTPUL5yv1iiUTjz6vvmLXK4FsUBL29qLR6h5rHbwtlhrM4U+V1jb+lOgbf1h/IcmVjWI+3qMj9nizOEklPCoz1ERRv0/fvdC06UfM6fS89foxk3kfEjbWnwYWblbLTXOp06/LTGm5GfaoxhUmAAChMZ3OWvLjmt5FoolL0e7Vaub7QSwtLqzeP9He2z7IZby2igOvrR7dJbtO5WZY87B09Ha23L2ISOFSKBVTi4xonHNBhLtJcoz+t56tEdkjfzydTfGh2P0cBxtqbI1QIViMACsFJnGsWdJF9UcXuh7X+pZqX6w/t8oLy6h8e7Oscmus+WC81AuN9/Wjv7haJZ633g949rb+bmqOx13QKKAhSH0FVK5WGMzUXKAhqUtPqp2hanc6z8saxGWvvDYuwPyMACvsZnpK/4eV1zxYPBXEtdk06V+VZb0SB0U+mrMbLRRSY2tePytv/rTc6+gGvu9sFq0whFFAQ9GBRtOo0/Qg5RdlzdYKqI9GKzepkT/13MaVLgLH20iWfnuMSAKXHPX1HVbPcaHn1SyphOFmJcL1FnxEpqdozNNBFC6O0nJWj+/rJHy34A/r6ScvJWNSDDvefdm9xtD+ig56nudF4/ppILP7w0IEu138X0yILxOob1NTdfFuHZay9RbZP1+EIgNIln8bjDvZ1dkXKavbpPou78Nbp1+f7NFZRr0qC6Cl6kc/LlL5+PPX18yH6+lnkk5C2w+0MdAv6OZUCVWpO9BNkA29JaXHdYxrX72DakpWDBx4ba898QVlf6rKv3kL+nrH2wv9BIAAK/zmeNodDfZ2vKOg5SW+eo1nXX8YqmhYqhQuTff18ZewQib5+PkRfPykEz8Bdu/p3hSXxrfqDW6/kqZWmeXuQN+r66no4A5MbyiSVVWusPd9qrD1zcSKD1vtuzwnRmxlrL5Sne1KmCIAmceTWC5X4/HuxxipSrt+qWWMV+fGCWPUvRg50dueWxOLntqK26YMKO2/VkWOa5R38EX39LP55yIQjjgx09RSV1b5sArtSn4mTFQRdoErSgwqCHs+E9IU5DYn6d77rcNQkxtqz1tzRW5V/k/fCC4fCnG/yNiZAAJTjn4ThutgPIyN+VBdeVxK0xljGKkr1RyJWv+Zqjev1HR0n5lnToSFK/pC+flKtntn7H+7b16G+uXZp3D7XU7TrBuHtah7fpR8pz2V2yrM6dRprr6pZxd9HxtorsAUtAzu3um4KmHJAgAAoB07yrFns7h6NRupesP7UsYrWq+fhF+2s2/LmvAXG6hp4X9CGiboGKnb/+96O1i/Pe0dsEDoBdUy6syhS2aXbYW9T5hQEmd8oKqka1XA21M1LwdlWKexn9cPv84ldq+Wl73stnR3bfpWCQ7HLDBUgAMrQE7OYyVKFy/5IaeUz+mOsXqITY4adV1y6d0QX5McWMx1hP9Z4Xz+KKi9O5NXa7/Xuid7gee1B2PNO/uYmoGBne1E03q+SoHdpixr1Cn6p6gi16zYZJUFzI5zTWon6d8bd+pow1l5H6/Nz2piVQiNAABSaU3l8GVH/I53qjO01/SJynSS6YRgYq+j4SCdtPbWvH2O9v+kpDW7yurfS2meSFC9U9+cFDZZapu/iBdLwfWMaC0uqXlNw1IrO8QtU1KzWWHtmfKy9Lep2VGPttf7k+PfMHrJNgAAo285YCtOrnmhfL45W7tDF4XQdxpUGMVbRgngf3ddPXlDQQl8/C4Ibyp1opPiHVRF6jTJ3quYqlQQ16nZYB0HQ8Z3uivrGD6uN+z8ouJw41t69x7dXts5WAQKgbD1zKUr3cH+3G6vIdcR2kebEWEV67ZrlPpaiQ4Z+t1P6+rlfff200NdP6E/7cWdQ37nvR6LVA9rRuzXXEwQdH2mstvF9qvD859qLrmuJyY2195Xkcx5yUIAAKAdP+rGyrAvv5uIS9RFkxscqsusipdXdQ/2dm461Le9PFkj29dOspYUqWXvUBKaFvn4mG/FqZgF95x5XSZAbq8/dmiYImplq1ncSwc9YtxOudNtNdyv4+X090tAjwZGb/xEA5eZ5P2auVdS+UUHQagVBDfrDHdUG5+tC7Ck4+vkxN2aFhEBFTZPqGnjjdQ1+qb5+VNegTa3rmBCYu4D7zlESNHevqWtOCH5cb9u6A2ZdtxOf1lOCn6lYOfaaACjHTvh8sqsg6F61SHldYxQ1arsTNV+iIKi4sHLpppH9e4fns69cW1cX3euM731jSl2De3LNgfwujAAlQW/OcWrwo73couDn9je3N7YKmwABUNjO6ALnR78+1SKl6nX9IXeVMdVbtHe+OXy4ojAaf9H1YLvAhwvF7irrmz6ujNyq2VW0dJOra8BFd8yC/9+kwDQlQe9XydCgC47e5C5DvdnU4CdZ8sP3MNRnfX6ZIwCan1dOrq0WKW3FZfEtKjB2laIbVIa8Tp21LS0srX5lpL+zPSdRZsi06vzcoreaNdcqaOz1jL1Pvziv12uK24XAdHwCLtjRGH6uhaa7naM6vfZktQ7bSeuwya5Tgx+9S8nPZCJeSYAAiI/BnASG+7pei0RrN2sIB3c7zI0ftlbPm3SLLHClRHPaSYhXKj/xtIpIcUWzsujmYv1tUjfa9nO9HW1/ptcEP0JgWhgBDY9xf1Fp1TJFPwqCTCWtwya7VtQ13SiTu7Q0ObJ7os4PJT+TmXglAQIgPgZzFhjq37evpKjqx/rUFGijs3XxXa4ea68ojsZ7FAQ9PecdhWzF8tqGk/zR0WaVjN2cyJr1VFHctPTuab07ZFklOxkioO/bA7QOO/pkjJX8GPejI+7e1Y+0u7o72v7k6DVZggABEJ+BeQoMDnb1xWPFPz0ULHEXmDM1+7rMnKEgaEgX5WfmubusX728vmmdAFzwc81YZuxGBYgtqvPz46zPHBnIaAF932gdNuEMTbjttTax2Nhv6vbzxyaswlMEJglQAjSJgxdzEThw4MBhXXwfVOXoVfrD7+ojVCsIuky3w2xdVelTvb29h+eyn2xfJ17TcKXyf5vy8Z5kXjYYL7+lp337pmzPG+nPDgFah42dpwnBT6Kpu5a6Oj+fzY6zSCrTJUAAlC75EBxXFS/vKy6N71I588nKTp0bwHHkcF55pLxiy1Bf94EQZHHGLFTWN37KGvMNrbDCraQ6B3+bd9hr6dq7/RX3mgmBxRKYpiTo1EhJfHRooCsnAvGpwQ+tvRbrk5f9xyEAyv5zmNYc6OK7Rb1Ev6oKma7C4UqFAmd7gb++KFL51PBgd0daE5eig1fUNahVl2nR7l0HkVZ5vyeSP3BDR8erdAuQInN2O7vAlJIgtUA0F6uOkCupVX208E5Tgx/llNZe4T3dC54zAqAFJ829Heri+/KS0uqtCgRiyv1alQjVqZn8SYUllXtGBrpDUyKyYsWKIq+o5k9V0tWsfJZp7vOs/UFQWPj7+15/yY2fxoRA2gRcsFMUrS7T9/BcJaJAbQ/fqdcVhSWxl/Q9DF1wHqtpuFqdjaq/LfNWh07JT9o+ell7YH1XmBBYGIFYXdMKtbr4jPbm+r1JTNYGn+zds+Nr46+z9bHyhFXL7Kj/x7rM3pTIg/Fc0/8v97S3/lO25ol0h1Ogsq7xWyqWvFQB0LJkDges9T6kVon3hyHH8frVawLrX6u8fFKzupxITCr5af1S8jkPCMxJgBKgOTGx0lwEhvs7e0uL6x61eYHrMTpRGVElQb+R7S3EYtWr3+aZPPdL80iLEuXrowp+7puLC+sgsJgC6ifo31Q371k10HTBgevBfYnqqF1QXBIvjBRWbB4a6h5ZzPQs1LFc4FMYrdKPK79Z+7xKc4Hbt/L2VQU/n3fPmRCYjwAB0Hy0WPeYAoOD+w4mOmorUUdtxluuDdR7tPdetRDzsrGFmPr4udg3iQvulcnM/2tgzLW97dsfOyYGKyCQJgHdDnttSaz2J8YG/SrmP0XJWKpI4RLP998SKanuGBro3JWmpM37sBMDH91+fr924K4piny851XStVE/RG5MvOY/BOYpwC2weYKx+twFKuobP6xi+P+pLdaMbWW/ZvKCL3X/+qWMv/jW1KysPegXfka39NztvPFi9i7rmTN7O7bvHMsP/yOQ+QKx+qarFAjp1rQ5J5ladVJuv9izp819NzN2qljacL615n8Y612sRLqSrCOTMnBtNH/w7l27dg0dWcgTBOYpQAnQPMFYfe4CyRZiLynKfqOFmOfXFRVXvpLJLcQUuH0k8PKaVYJ1tXKbKGbX47/kj+av7967be/cBVgTgfQL6Nb0tmhZ1c+s57k+u5o0qyDFXFAcra4ujMRaM7GCdKy+8WZjzT/r2uEqdI+V+Hh2o/JwmwKfD+/d/eom1x9Z+nVJQTYLUAKUzWcvS9Ke6C3Zel9Ri/ELk0n+L2vst3rb2zZkUhYql6651AaBC3rcPDapsrMuxA93d2z/9PgiHhHIVgH1X/VVVYh+n9K/IpmH/9DrOzOlgnR5zaqTjcm/QS26blD6liTTqIJkSnzGLXhcOAECoIWzZE+zCEzTQuywtfYuz7cbett3PDrLpil/q6Km8R3W967Tl+E3dbC6sQOaFz0bbPALvA1du9p+nfJEcAAEFkmgor7hAs/6urVrP5A85EHdErvVHAru7O5+KW0dmCb79HG3nMd7Vn9dt5x/EvEPfGL37t2Di8TDYXJIgAAoh052urNaXb02etg/dLuK3z8+IS379fNuo+raPFDgFW3cs2fzwIT3Uvo0Vr/6Qt/zr9EvYDeO1/itLjd2+3eDPP/2/bu3PZfSBLBzBNIkULZsbaU/evh61a/5cyUh8XdAt5e+r5H9NvTuXtzm8pWVq8psgQIyY1ypT7LpvvlnzwR39rS30dggTZ+RXDgsAVAunOUMy2NFXePXdbE9Qx8+V7ExMjF5rjMzvfdsqi58tbWnlxzyhi/XL8srdNm/XMcuP3J8o1Hcrf1LjSH00JFlPEEgxAKugrRv7fX6zrmKxmOT8bbptu/dgbWb8grsplSWgFbUrblMJa0f0HfxI8mjd6hl198Fefl3Hti1tXs8STwikAoBAqBUqLLPOQmU1zau9435b1r5OhW7TAyEVCjjPeIb+5A36j/RvXf7E3Pa4SwrldWuOSffHz1PA1dcpn2vn7Sq8XpN4N170ET+pL/jF/smvccLBEIuULW0sTEYtV/U2Hbuuzh10nA2ZpP+UGwKTPCSGga82rO77WdTV5rttetHy8/XeIGBydcxVmjd8blRz1dqPjLp/f+uLibuPbKAJwikUECfayYE0iuQ7NnVlca4W1GTmruOp0zNYe/Qr8TNxvgv5x82O8aXT3wcXjJUln8435UsaXWzQu8lZ7tKF3HNk6aXVfz/wKjnPbB/T+sjk97hBQI5KFBR2/h/lO2VnrFF+r6s0/OSGRieUEnt92f7cVJZ03Sulxecqy/iRdrHFZqP8bfGbszzzR917m5tneGYLEZgwQWO8aFc8OOxQwRmFKioOKncK1pyg8KXs7VSg2bXZHehpy3a4QbfBBu72ndsW+idsz8EwiAQX9rQFFizTiWjZ6rE9CyFL++YPl/2SWv9J3wveEp1eKy2OceYQE3Xj/Q5NP1mnvdT1ft71apnRu27tad9+1/OtCLLEUiVAAFQqmTZ7/EJrF27JNYdnKNL6rm6QJ7rBfYiXWDdYKtznQKtuFMf8J16slOlPfpVa3ceHvTu6Otr65zrTlgPAQQ8LxEQBeZmfZ9WyyOmoMiVEB1z0vq6dWZVl8f8yvOCDcYs2dmze+trx9yQFRBYBAF9PpkQyHwBDUlxkuoLfUbBUKl6cXtO/YIc1SxWzepVcmQC/bK8x/MLfsmFNvPPKynMQoGJP048c4F+WLxLuZhYh8+VrP5fa/wneiv9J72tWw9mYS5Jcg4IEADlwEkmiwgggECqBNyPE9XNu0E/TszoIfuNvk7q8aTKmv0igAACCCCAAAIIIIAAAggggAACCCCAAAIIIIAAAggggAACCCCAAAIIIIAAAggggAACCCCAAAIIIIAAAggggAACCCCAAAIIIIAAAggggAACCCCAAAIIIIAAAggggAACCCCAAAIIIIAAAggggAACCCCAAAIIIIAAAggggAACCCCAAAIIIIAAAggggAACCCCAAAIIIIAAAggggAACCCCAAAIIIIAAAggggAACCCCAAAIIIIAAAggggAACCCCAAAIIIIAAAggggAACCCCAAAIIIIAAAggggAACCCCAAAIIIIAAAggggAACCCCAAAIIIIAAAggggAACCCCAAAIIIIAAAggggAACCCCAAAIIIIAAAggggAACCCCAAAIIIIAAAggggAACCCCAAAIIIIAAAggggAACCCCAAAIIIIAAAggggAACCCCAAAIIIIAAAggggAACCCCAAAIIIIAAAggggAACCCCAAAIIIIAAAggggAACCCCAAAIIIIAAAggggAACCCCAAAIIIIAAAggggAACCCCAAAIIIIAAAggggAACCCCAAAIIIIAAAggggAACCCCAAAIIIIAAAggggAACCCCAAAIIIIAAAggggAACCCCAQAYL/H9fRLG6HyOiSgAAAABJRU5ErkJggg==","","","","","","021985189","","15/09/2026"
"חוות שיזפון","עמית דרור","(052) 000-0010","","2200","240","","0","02/09/2026","0","35.0197, 29.9836","שיזפון","","","","","","contact-07a@example.co.il","","",""
"חוות הר עמשא","שמעון ביטון","(050) 000-0011","","3900","90","","0","","0","35.0812, 31.3591","הר עמשא","","","","","","contact-08a@example.co.il","","",""
"חוות בארות נבטים","רפי אוחיון","(052) 000-0014","","0","540","","0","","0","34.9221, 31.2051","נבטים","","","","","","","","",""
"חוות עצוז","גיא ורדי","(054) 000-0015","","1500","160","","0","","0","34.4718, 30.7921","עזוז","","","","","","contact-10a@example.co.il","","",""
